"SLPBB042126  Li-Po Cell 3.7V 6600mAH, 15C  Cells Matching Datasheet(2024.03.11)","","","","","","",""
"PO No.","Item
No.","Cell Bar Code","Cell &Unit
Identification No.","Voltage(mV)","IR(mΩ)","Capacity(mAh)",""
"1312PI2401-SE","1","G3694110004097","1-1","3829.7","1.77","6843.2",""
"1312PI2401-SE","2","G3694110004082","1-2","3829.5","1.84","6883",""
"1312PI2401-SE","3","G3694110003516","2-1","3829","1.81","6843",""
"1312PI2401-SE","4","G3694110004114","2-2","3829.6","1.87","6864.6",""
"1312PI2401-SE","5","G3694110003481","3-1","3825.4","1.79","6851.9",""
"1312PI2401-SE","6","G3694110003793","3-2","3827.2","1.82","6857.7",""
"1312PI2401-SE","7","G3694110003363","4-1","3829","1.84","6882.7",""
"1312PI2401-SE","8","G3694110003809","4-2","3829.5","1.77","6876.6",""
"1312PI2401-SE","9","G3694110003654","5-1","3828.9","1.81","6893.9",""
"1312PI2401-SE","10","G3694110003687","5-2","3829.5","1.88","6864.4",""
"1312PI2401-SE","11","G3694110004085","6-1","3830","1.82","6867.7",""
"1312PI2401-SE","12","G3694110004112","6-2","3829.9","1.87","6861.8",""
"1312PI2401-SE","13","G3694110003844","7-1","3828.9","1.79","6893.6",""
"1312PI2401-SE","14","G3694110000890","7-2","3829.1","1.76","6879.3",""
"1312PI2401-SE","15","G3694110001727","8-1","3828","1.79","6877.9",""
"1312PI2401-SE","16","G3694110001491","8-2","3828.1","1.79","6857.3",""
"1312PI2401-SE","17","G3694110003874","9-1","3829.7","1.82","6852.2",""
"1312PI2401-SE","18","G3694110003798","9-2","3825.7","1.84","6867.9",""
"1312PI2401-SE","19","G3694110001919","10-1","3827.8","1.82","6866.5",""
"1312PI2401-SE","20","G3694110003962","10-2","3828.1","1.86","6843.4",""
"1312PI2401-SE","21","G3694110003888","11-1","3830","1.81","6875",""
"1312PI2401-SE","22","G3694110003892","11-2","3827.8","1.79","6883.6",""
"1312PI2401-SE","23","G3694110004217","12-1","3831.9","1.83","6881.2",""
"1312PI2401-SE","24","G3694110003919","12-2","3828.4","1.87","6887.6",""
"1312PI2401-SE","25","G3694110004098","13-1","3830","1.83","6878.2",""
"1312PI2401-SE","26","G3694110003745","13-2","3829.3","1.86","6872.7",""
"1312PI2401-SE","27","G3694110003522","14-1","3829.1","1.84","6878.2",""
"1312PI2401-SE","28","G3694110003945","14-2","3829.4","1.85","6869.2",""
"1312PI2401-SE","29","G3694110004246","15-1","3828.1","1.84","6892.2",""
"1312PI2401-SE","30","G3694110004228","15-2","3829.4","1.88","6895.9",""
"1312PI2401-SE","31","G3694110004052","16-1","3829.6","1.81","6868.6",""
"1312PI2401-SE","32","G3694110003336","16-2","3829.9","1.89","6863.6",""
